,nickname,contents,datetime
43,막내4차원(dbsk****)," 흑인이 플래쉬때문에 최면 풀렸을때 나가,도망가라고 하던게 처음으로 소름돋았음..  2층 올라갈때 사람들 싹 조용해지는것도.. 그리고 최고는 로즈가 차키찾으면서 울먹이다가 무표정으로 줄 수 없다고 말할때 진짜 대박이었다 다들 연기 너무잘함.  ",2017-05-20 15:36:00
44,족구남(zokg****),명대사 : 천잰대?ㅋㅋㅋㅋ  ,2017-05-21 23:07:00
45,김하영(best****),귀신도 안나오는데 엄청 긴장하고 심장쫄여서 혼났어요 ㅠ  ,2017-05-17 12:52:00
46,si1(rheh****),재밌다. 근데 동영상 메인예고편 없애라좀 ㅋㅋ 영화 하이라이트를 대부분넣었네 안본사람은 2~3분짜리 예고편 보지말고 그냥 가서 보셈.  ,2017-05-17 08:27:00
47,nwjd****,스포있어도 보란듯이 핵사이다같은 최고의 영화  ,2017-05-17 02:49:00
48,세희콜(qkrt****),오펀천사의비밀영화 이후로 이렇게 반전있고 신선한 내용있는영화 오랜만이네요 재밌습니다! 몰입도 짱  ,2017-05-17 01:19:00
49,초승달(fora****),관람객여친이 계속 눈치없는거처럼 답답하게 구는가 싶었더니 눈치없는게 아니었군 ㅎㅎㅎㅎ  ,2017-05-23 22:28:00
50,정의의사도(just****),이건 대놓고 재관람하라는 영화  ,2017-05-18 01:12:00
51,드래곤(wkda****),"영화 곳곳에서 은근히 드러나는 현재 미국의 상황이 소름 돋는다. 백인들은 흑인을 신체능력 등의 이유로 추켜세운다. 열등한 존재로 보던 시선에서 동경의 대상으로 변한 것 뿐, 결국 다른 존재라는 인식에는 변함이 없다. 진짜 평등사회는 아직 오지 않았다.  ",2017-05-26 03:43:00
52,유인나(ssss****),우리도 결국 차별하며 바라보고 있었다  ,2017-05-18 15:31:00
53,HJM홍련(zxvt****),흑인들은 이제 무서워서 백인 여친 집에 가겠나 ㄷㄷ 마지막에도 얄짤없이 누명쓰는구나 싶었다. 허술한 점이 있지만 신선했고 관객들에게 시사하는바가 크다  ,2017-05-20 02:03:00
54,MRX(phs3****),복선봐라 ㄷㄷ 진짜 역대급 충격 그 자체  ,2017-05-17 13:13:00
55,wowl****,관람객기대 했던것 이상의 완성도와 재미를 보여준 작품이다. 조던 필레  감독의 연출력을 다시 보게 되었다. 최고다!  ,2017-05-17 13:38:00
56,플라워하우스(ydhs****),관람객정말 실감 납니다. 등골 오싹하고 소름끼칩니다. 제대로 된 공포영화 즐기세요. 강추강추  ,2017-05-17 13:34:00
57,abwarten(inn5****),관람객귀신나오는게아닌데 무서워요 보다가 숨계셕참음 ... 그리고 사람이 제일 무섭네요 정말로 ㅇㅇ  ,2017-05-18 01:27:00
58,sm31****,관람객10점이 아니라 100점짜리 영화.소재가 너무 참신하다  ,2017-05-17 22:08:00
59,투니소년(yoon****),장면 하나하나가 의미있고 이유가 있었던 영화 갈수록 소름돋고 왜 로튼토마토 신선도 지수 99%인지를 알수있었네요  ,2017-05-17 09:39:00
60,넬군대 갔음ㅠㅠ(gkdn****),로드같은 친구 한명 있으면 인생 성공한거다  ,2017-05-17 18:27:00
61,애드위드(ad_w****),"일반 호러물과 비교하면 안된다. 징그러운장면, 무서운 장면 없이도 무서울 수 있다니  ",2017-05-18 19:16:00
62,진(park****),관람객차원이 다른 신선함! 끝나자마자 탄성이 터졌다!  ,2017-05-17 12:43:00
63,없음(nice****),신선하고 충격적이네요~  ,2017-05-17 02:50:00
64,얼토당분(spqj****),친구가 열일한듯 ㅋㅋㅋ  ,2017-05-19 21:28:00
65,pms(pms5****),남주가 이상한 기운을 감지한 순간! 100m 달리기급 전개되는 스토리 꿀잼  ,2017-05-18 13:52:00
66,hiph****,와 이거 죽이네.ㄷㄷㄷ  ,2017-05-17 08:22:00
67,박채원(codn****),"곡성'보다 끝이 명확하고 사이다스럽고, 어지럽지도 않아서 더 좋았습니다.  ",2017-05-21 15:52:00
68,냥냥이(minj****),"초중반까진 서늘한 느낌에 오싹한 분위기도 있고, 이야기 흐름도 좋았는데 후반부에 너무 갑자기 끝나버림.  ",2017-05-17 01:09:00
69,사탕(park****),재미없단 사람치고 영화볼줄 아는사람 없도다  ,2017-05-17 02:32:00
