,nickname,contents,datetime
357,anol****,배우들의 신들린 연기가 돋보이는 최고의 서스펜스 영화!알프레드 히치콕이 만든것 처럼 보이는. 후반부 수술대기중인 영감이 니 눈으로 세상을 보고 싶다는 탐욕스럼을 보는 주인공의 표정 .  압권이다  ,2019-03-17 00:39:00
358,this****,꿀잼입니다 꼭보세영여여여  ,2019-03-09 20:37:00
359,ilbu****,진짜 대존잼 인생영화임 이 영화에 대해서 아무것도 모르는 상태에서 보면 더 재밌음 예고편이든 후기든 뭐시기든 던지고 영화먼저 봐야함  ,2019-02-20 18:32:00
360,qjwke11(thgm****),일상 속의 흔한 인종차별과 점점 고조되어가는 분위기에 보는 사람 숨이 턱 막히고 통쾌한 복수로 깔끔한 마무리를 지어낸 영화  ,2019-02-13 01:32:00
361,박주현(ju03****),이영화는 꽤 단순한 줄거리임에도 불구하고 각 장면마다묘한 상징성을 지닌 요소들을 넣어 색다른 재미 포인트를 만들어 놨다. 이 요소들을 해석하고 분석하는 재미로 보는 것 같고 그 요소들 하나하나가 인종차별과 관련있어 그 무엇보다도 기억에 남을 것 같다.  ,2018-09-20 00:46:00
362,김선(sun4****),그냥 호러영화인줄 알고 긴장해서 봤는데 다른 의미로 끝까지 긴장타면서 봄. 다른분들 처럼 멋진 영화평은 못하지만 정말 볼만한 영화입니다! 강추! 그리고 OST도 지림....!!  ,2018-08-15 08:50:00
363,빈센트(jere****),최면이라는 설정만 기억하고 뇌수술하는 장면까지 보여줬는데도. 하녀가 차를 막고 하인이 쫓아오는데도 뇌수술한 할아버지.할머니라는 건 완전 반전;; 최고의 심리스릴러 영화입니다.  ,2018-05-13 00:49:00
364,재웅(cjsw****),중간에 그  빙고장면이 경매하는거였음 ㅅ소름;;  ,2018-05-11 12:38:00
365,레모나(khb9****),장면 하나하나에 의미가 담겨있었음  ,2018-04-30 07:05:00
366,뚜비나나맘(kkom****),영화 참 잘만들었음 해석찾아보고 더 대단하다고 느꼈음  ,2017-07-15 22:18:00
367,rhee****,관람객새로운 시나리오라는것에 점수를 준다  ,2017-07-10 21:37:00
368,love****,관람객재밌었어요!! 뒷부분 진짜 짱  ,2017-07-03 21:16:00
369,성빈(abcd****),관람객생각해볼 내용이 많은 영화  ,2017-06-15 16:21:00
370,als3****,진짜 영화보고나서는 이거 왜봤지 생각햇는데유튜브에 올라온 해석 보니깐 영화 진짜 잘만들었다 생각합니다영화보신븐 해석 한번보세요  ,2017-05-22 01:08:00
371,asd123(jiwo****),대단하다. 신선한기괴함  ,2017-05-21 01:36:00
372,해나(yk89****),최고~~~~ㅡ~~~~ㅡ  ,2017-05-21 01:29:00
373,리미얍(rimi****),줄거리도 참신하고 소재도 반전도 넘나 만족스러워서 2번 보고 싶어지는 영화네요 이런영화좀 더 만들어주세요~ㅎㅎ  ,2017-05-21 00:33:00
374,ckdr****,예고편보고 대충예상은 했지만 상상이상이었어요  ,2017-05-19 22:12:00
375,JUN(kja3****),"다 본 후 느낌은 ""한번쯤 더 보고 싶다.""  ",2017-05-19 22:05:00
376,ps59****,"러닝타임 더 늘려서 내용만 더 깊어졌다면 120% 찬사 받았을 듯,  ",2017-05-18 19:22:00
377,gkst****,보는 내내 눈을 떼지않고 본듯하다 개인적으로 최고의 영화다 따봉  ,2019-05-23 10:30:00
378,0ㅁ0(vasc****),개지리는 영화 중 하나..  ,2019-03-25 13:00:00
379,side****,로즈랑 로드와의 통화씬은 여러모로 썸뜩했다  ,2019-03-20 18:32:00
380,임재혁(yimj****),오늘봄  내용은  너무뻔한것같음  악당도넘쉽게당하고 인종차별이란내용은신선했지만  너무뻔하게흘러감   무섭다기보단 그냥스릴러 영화  재미있지는모르겄음  ,2017-05-26 18:17:00
381,유하영(haju****),관람객무서운 영화치고 스토리 있고 소름 돋아서 재밌땅  ,2017-05-20 21:57:00
382,해사랑(2002****),"호기심으로 보게 만들었다가, 사람 심리 이용해 제대로 스릴있게 찔러주네  ",2017-05-20 02:03:00
383,1387****,진짜재밌음. 몇년동안 극장에서 본영화중에 최고였던듯 이거 재미없다고 하는사람들은 영화해석을못한 사람들일거야 ;; 영화속 장면들이 다 의미가있고 그의미를 해석하면 진짜소름돋음 특히 음향효과가 아주 ;  ,2017-05-19 22:36:00
384,김지선(kjis****),관람객보다 중간에 깜짝깜짝 놀라네요  ,2017-05-19 03:24:00
385,해피엔투(xdae****),주인공이 의심많고 똑똑해서 살아남ㅋㅋ신선하네요~ 암튼ㅋ  ,2017-05-19 00:51:00
386,회상(alon****),그냥 흑인pc충 스토리흑인들이 동양인 차별하는가 보면 1도 공감 안되지  ,2019-03-22 21:49:00
387,영(ever****),프랑스 공포영화 익스텐션이 떠오르는 도입부에  너무 억지스런 최면요법! 의학도 아니고 SF도 아닌 유치한 발상의  범행!  보지 마세요  ,2017-05-22 14:48:00
388,북극곰(yk_j****),관람객마블도 인정한 영화!!! 인정할만함 재밌었음  ,2017-05-17 13:54:00
389,박영아(qkrd****),몽환적인 심리스릴에서 오는 충격과 공포 ㄷㄷㄷ  ,2017-05-17 02:29:00
390,keer****,관람객터질듯터질듯 안터지고 애들장난처럼 우수수 다 나가떨어져 무슨  ,2017-07-21 19:46:00
391,펠리시티(knif****), 재밌다고? 어휴... 같이 보자고 했다가 시간 아까웠다고 욕먹음. 돈만 날림.  ,2017-07-24 00:45:00
392,고모군(jpk0****),기대하고 봤는데 결국 핵노잼  ,2017-07-18 11:58:00
393,skya****,여기에 뭘얻었네 반전이네 다시생각하니 소름이네 하는것들  평점믿지마세요.첫째 지루합니다.둘째 개연성부족.셋째 솔직히 킬링타임용도못됨 당신의시간은 소중하니까요  ,2017-07-06 05:59:00
394,빗소리좋아(popn****),신선했으나 그게다였던영화 딱 킬링타임용  ,2017-05-22 17:47:00
395,keith(shsw****),한국영화 더 게임을 봤던 사람이라면허무했을 영화  ,2017-05-22 14:55:00
396,사라져써(oppi****),너무 기대를한건지ㅜㅜ 공포영화라기보단 깜짝 놀라는 요소가 부분적으로 들어간 그냥그런 영화..  ,2017-05-21 14:13:00
397,hiru****,"관람객 평점조작단, 우리나라 미국에서 뻔하디 뻔하게 반복된 소재를 가지고 뭔 대단한 반전인냥, 관람객 평점도 저게 뭔가? 이제뭔가시작되는구나 하고 시계봤더니 1시간 그냥 갔더라. 역대급영화라고 해서 조조맨처음으로 갔는데 헛점투성이 뻔한 * 바꿔치기영화  ",2017-05-17 18:07:00
398,패스(a365****),솔직히 재미없습니다. 인간지네1 보다 나을게 없음  ,2017-10-27 01:12:00
399,라기로사(kck7****),솔직히 반전쩐다 재밌다 스토리가상상도못했다 하는데보는내내 진짜진부하고 크리셰명확하고 그냥절반쯤보니깐 나머지는각이딱나오던데 진짜 너무뻔해서 재미도없고 같이보자한친구들한테 미안할수준 진짜노잼  ,2017-06-14 10:43:00
400,러브리(pret****),1차원적인 영화의 끝판왕. 스토리 최악. 개연성 없고 돈 시간 모두 아까운 영화 다운받아서 보지도 마세요 시간아까우니까  ,2017-06-11 17:40:00
401,황철현(chom****),별로에요 기분나쁜 영화!ㅡㅡ  ,2017-06-06 20:44:00
402,mada****,"내가장담하는데 별점준놈 전부 작전세력이다/ 이건영화가아니고 TV드라마정도급이다. 돈도안들인, 영화보고 욕나오더라,별점줘야 댓글달수있데서 준다  ",2017-06-06 18:08:00
403,자유인(osh8****),"진심으로 재미없음,,미국판 곡성 절대 아님  ",2017-06-03 13:42:00
404,맥머피(tmdg****),혐오와 차별에 대한 메세지만 담고 있으면 영화가 어떻든 명작으로 불리는듯  ,2017-06-03 04:05:00
405,크리스티안 에릭센(a406****),개노잼 OO 스릴러하나없고  결론 주인공뺴고 다OO  ,2017-05-21 02:32:00
406,예림띵(dpfl****),아니 10개 준 사람들 뭐지?? 나랑 다른 영화를 본건가??? 진짜 오랜만에 스릴러 보려고 엄청 기대하고 갔는데 이건 뭐 재미도 감동도 없는 영화임ㅡㅡ 평점 보고 기대하고 갔는데...  ,2017-05-19 10:13:00
407,김수현종대진환(jenn****),별로였음..보고 나서 기분 찝찝함 결말도 급 결말지은 것 같고 걍 별로  ,2017-05-18 18:34:00
408,queen(mara****),"이 영화에는 흑인 우월주의사상이 노골적으로 나온다. 흑인이 우월하니까 백인들이 열등감 느껴서 차별하는거라고 영화는 말하고 있다. 실제로 가장 차별 받는건 동양인이다. 백인, 흑인이 주연인 영화는 수도 없이 많지만 동양인이 주연인 영화는 거의 못봤다.  ",2017-07-17 00:31:00
409,tjdwlsdl(fait****),삼류 스릴러 그이상 그이하도 아님  ,2017-07-08 15:45:00
410,박쏘(sh47****),잘찍은 대학생 독립영화 같네요...  ,2017-07-08 02:13:00
411,dhthflrkaxn(miff****),2류 영화...기대가 컸는데 많이 아쉽네요  ,2017-07-06 23:54:00
412,곰탱이(toyo****),알바들의 평점 올리기가 시작됐군. 평점 훅 올라간거 보소.  ,2017-06-10 12:53:00
413,전수빈(jsb0****),별 내용이 없어서 좀 실망..  ,2017-05-18 22:09:00
414,블랙(ivg0****),데드캠프급 뭐 씹 B급 3류 영화인대 평점이랑 평 존ㅡ 나 그럴싸하게 포장해놨네 ㅋㅋ어이가없다  무섭지도 그렇가고 스릴넘치지도않는데  ,2017-05-18 21:55:00
415,thfk****,남자친구가 2007년 영화 신하균 변희봉주연 더게임 따라한거아니냐고했음 부정할수없음 상 휩쓸 정도는 아님  ,2017-05-18 19:46:00
416,청삼이(kim1****),다보고 어이 겟아웃하는영화.로튼 90점대라 남 기대했나...기대에 못미치는 영화ㅠㅠ필행님ㅠㅠ  ,2017-05-18 02:50:00
417,rbsu****,이거저거 외국 공포영화 짜집기 해놓은 그런 영화... 보는내내 다른영화생각들이 계속남...제목들이 기억이 안나지만 호스텔도 생각나고 부부가 영혼만 주술로 바꿔서 계속젊게사는 그영화도 생각나고 ... 머 이거저거 몇가지 짜집기해놓은 ...  ,2017-05-17 06:59:00
418,H3(h3st****),솔직히 너무 뻔한 내용...뭔가 어설프다  ,2017-06-03 15:42:00
419,김태형(carc****),b급 맛이 있는 것도 아닌 그저 삼류영화. 마케팅 알바들이 정말 있다는걸 직접 느끼게 해준 영화..  ,2017-05-26 12:02:00
420,젠틀몬스터(dydw****),흥행한이유를모르겠다 보고나서 돈아깝다는 생각뿐안듬  ,2017-05-24 09:41:00
421,Rapunzel(ssun****),관람객내 맘속에서 get out....  ,2017-06-13 02:42:00
422,kcn1****,영화 후반 30분은 완전 엉망.평점이 왜 높은지 이해가 안가네요  ,2017-05-21 11:46:00
423,홍스타(wkd5****),이런쓰레기같은영화 처음봣네 인종차별이야기는알겟는데 팩트도없고 내용도없고 무서운스릴도없고 무서움많이타는데 이거보고 놀라지도 집중도되지도않은영화네 ㅋㅋㅋ안보는게 훨나을듯 티비에서 틀어줘도 안본다  ,2017-05-20 00:54:00
424,김지영(gx3z****),내 1만 1천원을 돌려놔라 덕분에 네이버 평점은 믿을만 하지 않다는걸 입증한 영화다.  ,2017-05-19 21:02:00
425,배혜진(plai****),뻔한영화.. 복선이 너무많고 잘라보면 흔한스토리라 뒷내용을 다 알게되든데..내가 영화를 너무 많이본건지; 기대치에 훨씬 못미치는 영화였습니다. 예고편만 쌔리 질러놓고 임팩트만 모아서는; 연기력과 남주의 시원한 결정력만 맘에들고 보스베이비가 훨씬재밌네요  ,2017-05-19 20:53:00
426,jjan****,재밌다고 한새끼 나와봐  ,2017-05-19 20:07:00
427,hey2****,내 인생에서 이 영화를 겟 아웃차라리 영화볼 돈으로 기부를 하세요누가 이거 재밌다고 하면 쌩까자는 말 돌려하는 겁니다  ,2017-05-18 01:51:00
428,dnfl****,그냥 재미없어. 시간위의 집이 백배낫다.  ,2017-05-17 01:14:00
429,samsung(sams****),반 트럼프 pc 충 들과 평론가 때문에 역대 최고로 과대평가된 시간 떼우기용 영화. 연기도 연출도 엉성하기 짝이 없음.  ,2017-06-18 13:42:00
430,sooy****,관람객재미없는데.... 내가이상한가?  ,2017-06-07 21:58:00
431,sdfsdjhf123(xoxo****),ㅋㅋ;; 보고 나니까 내가 대체 뭘 쳐본건가 싶을정도로 사람 벙찌게 만들고 그냥 팔천원을 공중분해 시켯다는게 이런 기분이구나 라는걸 느끼게 해주는 영화  ,2017-05-21 21:39:00
432,reds****,반전은있다. 스릴러인데 코믹이였다는거  ,2017-05-21 20:36:00
433,aa19****,잼 없다ㅠ잠 온다 돈아깝다  ,2017-05-21 11:48:00
434,cybe****,진심 1점 주기도 아깝다 댓글알바 진짜로 많네;;  ,2017-05-19 02:14:00
435,dldmstn(dprt****),네티즌한테 속앗네요^^  ,2017-05-18 20:40:00
436,작은소년(requ****),"솔직히 기대하고 봤는데, 흑인들 피해의식이 너무 많이 드러났음. 감독도 설마? 했더니..흑인... 아니 백인을 모조리 악마로 묘사하고 흑인은 순진한 피해자로 묘사... 현실과 너무 괴리가 크다.  ",2017-05-18 08:23:00
437,hws6****,무거운짐진 당나귀의 계속적인 뒷걸음질  ,2017-05-17 07:16:00
438,권피디(nova****),B급영화 홍보의힘 한시간졸고  10분 휙  영화끝  ,2017-05-17 19:08:00
439,Nosferatu(film****),"백인들은 이런 흑인영화를 '나쁘다,후지다'라고 말하지 못한다.  ",2017-05-17 12:05:00
440,반성한다(newp****),고리타분 지루 신선도 1점의 상업적 흑백갈등조장하는 발암물  ,2017-05-17 07:43:00
441,세라서(gagb****),몰입도 0 그냥 재미없음  ,2017-05-18 06:54:00
442,히메(fit_****),진부함..소재신선이 끝이에요. 처음엔 오? 이러다가 중간부터 역시 ㅋㅋㅋㅋ이러면서 허무하게 끝남  ,2017-05-21 21:06:00
443,Sheogorath(baew****),"누가 배급하길래,, 이렇게 알바스러운 10점 댓글이 많은건지;;; 10점이 그렇게 가벼운 점수냐? 이건 객관적으로 5점도 못미치는 2류 B급영화다. 균형을 위해 1점을 준다.  ",2017-05-17 16:31:00
444,beee(beee****),신박하나 스토리작가가 쓰다가 존듯한 ..  ,2017-05-19 10:56:00
445,구티(mc_t****),솔직히 마무리쉣인데 알바풀었냐 평점왜이래  ,2017-05-18 20:38:00
446,카름(neog****),내가 최면에 걸린것만 같다.. 제발 보지마..  ,2017-05-18 01:51:00
447,아타락시아(hots****),진심 티켓값 아껴서 팝콘 5개 처먹고 와라. 엄마 초능력자냐? 최면이 시작과 끝인 영화.  ,2017-05-17 02:54:00
448,bbzz****,영화 시작 절반도 안되서 결말이 예상됨;; 이게 왜 1위인지 모르겠음.. 또 반전 없음 나는 개인적으로 별로인거같음  ,2017-05-21 13:11:00
449,강태연(mat0****),댓글알바하는건가ㄹㅇㅈㄴ허무하게끝나고재미도업음절대보지마셈돈존나아까움  ,2017-05-21 15:34:00
450,김선화(kkwi****),관람객뻔함 뻔함 뻔함....  ,2017-05-20 16:16:00
451,희니(pha8****),손님 그대로 겟 아웃하시면 됩니다 ^^  ,2017-05-18 23:00:00
452,김수년(k900****),진짜 보지마세요 최악의 영화  ,2017-05-17 18:31:00
453,아맛(hopp****),왜이렇게 재미있다고 빨리는지.. 그냥 평범  ,2017-05-17 09:26:00
454,훈2짱9맹9(gkse****),이해를 함에도 불구하고 노잼이었다  ,2017-05-21 12:03:00
455,kiro****,"재미없고, 긴장감도 없는 3류 영화극장에서 볼 수준은 아님!!!  ",2017-05-17 17:51:00
456,사이다(jang****),기대하지말고 보세요^^  ,2017-05-21 04:30:00
457,짜증나라짜증왕자(zdr0****),진짜 댓글알바만 풀어놓은거임 ? 평점 왜이래 팝콘 엎을정도로 무섭다고 하던데 소리가 깜짝 놀라지 하나도 안무섭고 너무 재미없음 개인적으로 난 재미없다고 생각함 ㅠ  ,2017-05-18 20:26:00
458,이세린(seri****),평론가랑 일반인 평점좋아서 봤는데 다들 댓글후기알바하는건지 ㅋ영화보면 허탈해서 웃음밖에 안나오는 영화  ,2017-05-20 11:37:00
459,mets****,메세지를 담기에는 버거운 파괴적인 영화  ,2017-05-18 12:07:00
460,우니(engl****),관람객예고편이 진짜다입니다 진짜 네..반전 잇어여  ,2017-05-18 01:03:00
461,형도(gude****),광고 만든사람한테 상줘야된다 진짜  ,2017-05-17 17:01:00
462,먹방야(zxcd****),찻잔 3번 칠때부터 알아봤다... 갠적으로 여자친구도 그렇고 너무 뻔했다싶다  ,2017-05-18 03:35:00
463,벗(0104****),관람객노잼 한국판 곡성이라는데 더 재미없음기절한다고 해서 남자 4명이서 봣는데 구라  ,2017-05-21 12:58:00
464,문지기(megk****),관람객초반 상당히 몰입되고 심장 벌렁 쫄깃 !! 그러나 중반부터 이야기 전개가 다 예상...예상되니 당연히 무섭지도 않구... 초반은 스릴 공포 분위기 쩌는거에 비해서~ 로튼토마토 99는 오바지만 볼만하다 ㅋㅋ  ,2017-05-17 22:07:00
465,msf9****,ㅉㅉ 진짜 여기 보니깐 댓글 알바가 존제 한다는것이 사실 이군.ㅉㅉㅉㅉ 나도좀 댓글 알바 끼워주라 시간 많다.ㅉㅉㅉ  ,2017-05-18 02:03:00
466,giyj****,"진짜 별로던데... 결말 완전 뻔하고 스릴 하나도 없고 왜 15세인지도 모르겠고,,, 완전 허무하고... 내용 진짜 한줄로 요약할 수 있을 만큼의 단순한 내용이랄까.. 걍 노잼  ",2017-05-18 08:38:00
467,Johnkim(genk****),예고편이 영화를 망쳤다.. 예고편에 나온 내용 그대로 나오니까 놀랍지도 않고 재미도 없다  ,2017-05-19 03:01:00
468,마루바우(vvan****),두 번 다시 평점 같은 거 남기나 봐라... ㅡㅡ^ 푼돈 벌겠다고 영화 시장 망치는 알바레기들... 6점도 후한 영화인데 꼬락서니들 하고는... 차라리 10년 전 신하균이 나온 ' 더 게임 ' 에 10점을 남겨라 이것들아~!!!  ,2017-05-17 16:41:00
469,hyun****,로튼 99프로란게 더 소름 중반노인네들 파티할때부터 너무 뻔했음 예고편이 다인 스릴러 태어나서 처음본다 설마설마 이렇게 끝? 끝.. 플래쉬로 깨어나면 일상생활 가능하심미까? 넘 기대했나 ㅂㄷㅂㄷ  ,2017-05-18 02:54:00
470,토스키(rhtj****),마지막 큰거 한방이 부족했다...복권1등당첨되고 바지에 넣고 세탁기에 돌리는 기분..  ,2017-05-17 13:56:00
471,스몰토크(skdi****),내용도 뻔하고 쪼는맛도 없고 그냥 무덤덤히 보다보니 끝났다. 마지막에는 그냥 막 마무리 짓는 느낌  ,2017-05-17 19:06:00
472,ysk3****,관람객급  실망이네요..내용도없음..  ,2017-05-18 11:20:00
473,7223****,장난하냐 나 존나기대했다 페북보고내가 진짜 처음 별점남기는데 보지마라기대이하다  ,2017-05-17 22:14:00
474,졔졔졔졔(taij****),평점 너무 높은거 아님?6점 정도면 될것같은데ㅡㅡ  ,2017-05-17 16:59:00
475,아벨(leon****),알바 많네.. 나쁜영화는 아니엿지만 빨아댈 영화도 아니다.  ,2017-05-18 00:54:00
476,rkdw****,ㅋㅋㅋ베스트 평들봐라 개봉일이 5월17일인데필름마르지도않은 5월17일 새벽시간대에 쓴게 베스트평들이네? 우리나라 영화산업 왜이러냐 정말. 더럽다 더러워 알바들ㅉㅉㅉ  ,2017-05-17 21:58:00
477,ossa****,1점 까진 아닌데. 너무 대단하게 써논게 많아서. 재미는 있지만 대단한 영화는아님.  ,2017-05-17 18:57:00
478,조혜빈(hb96****),관람객그냥그냥요~평점이쓸데없이높은듯요~~  ,2017-05-17 15:26:00
479,formal(gon1****),극장 재방까지 다섯본 봄. 그래도 재미있음  ,2019-06-12 01:33:00
480,헷(unji****),진짜. 잘만든 영화 ... 불쾌함과 소름의 연속임 ..  ,2019-06-12 01:13:00
481,cdk6****,"차별과 분리, 소유욕이 만들어 낸 뒤틀린 사회에서, 발버둥치는 이들을 위한 호러 영화. 공포감을 단순히 한 장면에서 발산하는 게 아닌, 일상적인 순간들에서 뽑아냈다는 것이 매력적. 공포에서 시작했다가 복잡한 생각이 들게 만드는, 엄청난 작품이다.  ",2019-06-10 01:43:00
482,아트맨(artb****),극장 뒤에서 보는것처럼 인생을 산다니 너무 답답하고 잔인하다. 그러한 장면을 연출한 감독과 카메라 감독도 천재인듯...  ,2019-06-07 22:57:00
483,김영호(rica****),외국에서 오랫동안 살았던 나에게는 충분히 공감가는 유색인종들의 불편한 현실 ㅠㅠ  ,2019-06-06 16:37:00
484,인당(int1****),일반 공포물과 달리 신선하고 내용도 기괴하네요. 잼있게 봤습니다.  ,2019-06-03 23:01:00
485,2875B(pdk0****),충격 그자체. 불편한 진실을 마주할 준비를...!  ,2019-06-01 22:10:00
486,shar****,마지막 사이다  재밌네  와  ,2019-06-01 13:44:00
487,멍뭉(ddab****),조던필 이 양반 보통인물이 아니었네  ,2019-05-29 20:21:00
488,양키즈(hbs0****),재밌다. 올만에 긴장되는 영화를 봤습니다  ,2019-05-27 14:51:00
489,슬로(void****),2015년작 셀프리스를 영악하게 흑인인종문제로 번안한 백인스타일 흑인영화  ,2019-05-24 02:47:00
490,lolol98(duqc****),내가 공포영화를 많이 봤다고 하진 못하겠지만 내가본 공포영화중엔 가장 참신하고 무서웠다  ,2019-05-21 00:04:00
491,람쓰(rlad****),영화 완전 잘만들었음..  ,2019-05-07 04:01:00
492,잠와디질때이(sung****),재밌어요짱.짱짱.짱.짱입니다  ,2019-05-06 15:10:00
493,망치(zoom****),꾸르젬이닷 너무젬나!!굿굿  ,2019-05-06 11:24:00
494,즐라탄잇몸은즐라탄탄(kimj****),진짜재미있다 ㅜ..ㅜ  ,2019-05-06 00:22:00
495,동이(mhd0****),영화 잘 만들었네... 보는 내내 기분 졸라 나쁘게 만듦...  ,2019-05-05 16:40:00
496,자칭타칭빠가(4466****),연기 너무 무섭게 한다 ㄷㄷ  ,2019-04-16 20:00:00
497,murakami(7ehd****),흑인여자연기ㄷㄷ ㅁㅊ  ,2019-04-13 05:50:00
498,ariel예형(arie****),핵잼....쩔어요 ㅇㅇ  ,2019-04-10 18:56:00
499,히로진(wlst****),뭐 디테일이고 자시고.. 영화 몰입도랑 신선한 공포 그리고 영화 진행되면서 나도 모르게 추리하면서 소름돋는... 심지어 영화가 끝나도 계속 숙제처럼 추리하게 되는 이런 영화는 처음본다.. 그래서 10점이다 쩐다 꼭 봐라  ,2019-04-08 21:04:00
500,김주원(juju****),감독 진짜 천재다.... 최고다 대박이다....왜 이제야 봤을까  ,2019-04-08 01:22:00
501,밥아저씨(pung****),역시 사람이 제일 무섭다  ,2019-04-07 23:39:00
502,물먹는하마(tlse****),존잼인데????!!!  ,2019-04-06 18:00:00
503,KuS(ksc3****),어스를 보고 다시 한번 느꼈다. 이 영화 정말 잘 뽑힌 영화라는걸.  ,2019-04-06 16:24:00
504,mama****,"어스보고, 하도 겟아웃 겟아웃 하길래 봤는데, 진짜 대박이네. 겟아웃 본사람들은 어스에서 완전 실망인거 이해가네, 겟아웃 의미전달 확실하고, 졸잼. 어스는 내용을 너무 어렵게만들엇어, 난해함,  ",2019-04-03 00:49:00
505,동주형(kimd****),식상하게 마무리되는게 아쉽지만 복선 정리도 깔끔하고 연기도 좋았음.  ,2019-04-02 16:43:00
506,Charlotte(solh****),시나리오 튼튼함. 전달하려는 바 확실함. 배우들 연기력 엄청나서 영화에 흡입됨. 보다보면 같이 정신병 걸릴것같음. 초반에 잔잔하면서도 계속 긴장감을 놓치지 않고 결말에 반전을 줌으로써 장르로서의 역할을 충실히함. 감독판 결말까지 이해하려 애쓴영화임  ,2019-04-01 01:46:00
507,KATC(huns****),어스와 비교하면 천지차이네...어떻게 이렇게 변해버렸냐  ,2019-04-01 01:28:00
508,224Rche(dk10****),종교에 대한 세뇌가 얼마나 무서운지 잘 나타내 준 영화  ,2019-03-31 21:11:00
509,Han Gil Su(hgil****),오랜만에 미친영화 한편 봤습니다.  ,2019-03-31 20:13:00
510,신짱아(hhho****),이건 명작이다. 물론 여기에 담긴 인종차별 메세지는 우리 모든사람이 곱씹어야할 문제지만 영화자체는 명작임  꼭보셈. 무서운거잘못보는 사람도 볼수있음. 사바하보고 기분잡친거 이거보고 다시삽니다 ^^  ,2019-03-31 17:22:00
511,서녕(kitt****),내 최고의 영화...진짜 꿀댐  ,2019-03-31 11:56:00
512,백설기(judo****),진짜 소름~완전 재미있게 봤네요  ,2019-03-31 00:54:00
513,inin****,"미침,,,3번봤는데도 볼때마다 이건진짜  ",2019-03-30 23:56:00
514,우유(0818****),흑인아줌마 볼때마다 유재석이 따라했던거생각나서 웃겼음  ,2019-03-30 20:35:00
515,간디(la92****),참신하고 재미있다! 이런 스릴러 아주 좋음  ,2019-03-30 19:37:00
516,qwq9****,엄청나네요... 소름돋네 ㄷㄷ  ,2019-03-30 19:31:00
517,귀요미얌(miss****),지금까지 이렇게 재밌는 영화는 없었다 두번세번다시봐도 재밌다  ,2019-03-29 17:51:00
518,북방의병기(lchs****),"내용은 15년 전 ""스켈레톤 키"" 라는 영화를 그대로 가져왓다 봐도 무방하다. 호평을 할 수 밖에 없는 이유는 탄탄한 스토리와 감독의 병적인 데칼코마니의 집착  배우들의 연기력. 특히 흑인 여배우의 이중인격 연기, 웃으면서 눈물 흘릴 때 소름 돋더라  ",2019-03-29 08:51:00
519,wjdw****,처음 인트로 음악이 좋다  ,2019-03-28 16:57:00
520,또스리(wjdr****),무슨말이 필요한가...  ,2019-03-28 05:19:00
521,Auo(1212****),간접적으로 느낄 수 있는 흑인이 백인에게서 느끼는 공포들.무섭고 슬펐다  ,2019-03-17 14:00:00
522,가린(xiah****),진짜 다시 봐도 소름돋음 알면서도 소름돋음  ,2019-03-17 13:58:00
523,타우린(1htk****),말이 필요없다 이건 무조건10점이다 몰입감 최고.  ,2019-03-17 12:59:00
524,김하은(star****),...와 진짜 연출 연기  ,2019-03-17 00:24:00
525,kakaka(ludi****),기괴하고 무섭다 잘 만들었어  ,2019-03-16 23:58:00
526,복병(wlsd****),반전 지렸다..스릴러장르중에서는 최고인듯  ,2019-03-16 23:58:00
527,Bouquet(ices****),차원이 다른 공포영화   .  ,2019-03-16 23:56:00
528,뀨(qotn****),감독천재네.. 연기자들연기도소름돋고.. 평점이너무낮다ㅜㅜ 영화다보고나서 곱씹어보게되는영화.. 생각하면생각할수록 소름돋는영화 진짜 두세번봐도안질릴듯..근데 남자주인공볼때마다 박진영생각나고 여자엄마볼때마다 김혜연인지정혜연인지 베이비들~하는여자생각남ㅜㅜ  ,2019-03-07 03:41:00
529,jaeha(jaeh****),막판 유쾌상쾌통쾌...  ,2019-03-07 02:13:00
530,김동규(homm****),미스테리류 영화 중 단연 최고  ,2019-02-23 12:45:00
531,와구와구(rkdh****),초반부터 다 한패인거 눈치깠는데 ㅈㄴ소름 사이비집단 같았음  ,2019-02-20 23:27:00
532,goyou(fifi****),와..오지는 감독이야 전에 크게 활동도 안했는데  어찌이리 잘 만들었을까 심장 존쫀뜩하게 만들  ,2019-02-20 21:03:00
533,너랑나랑은(shr0****),와 진짜 반전에 반전...;영화 보기전에 댓글보면 나중에 깨달으면서 온몸에 소름이 쫙돋는 영화  ,2019-02-16 00:01:00
534,리으두(tpst****),간만에 몰입하면서 본 영화...대박대박이라는말밖에 ㅜㅜ몰입력 하나는 끝내줍니다 진짜 잘만든영화 분위기자체가 소름돋는 이런 스릴러 너무 좋아요  ,2019-02-14 08:54:00
535,소진(thwl****),2편도 나왔으면 좋겠다  ,2019-02-10 01:34:00
536,치야키(kskj****),해석보다보면 감독이 천재다..  ,2019-02-05 23:21:00
537,양도비(pret****),"차키 안줄거 알잖아, 자기야.  ",2019-01-24 23:47:00
538,blast(eaew****),"최근 본 영화 중 제일 재밌고 무서웠다. 이제까지 본 공포영화 중에서도 단연 탑급. 배우들의 연기가 소름끼치고 보는 내내 소름, 보고나면 봤던 장면들에 하나하나 깔려있던 복선이 떠오르며 소름.  이 영화는 며칠동안 계속 생각날것 같다.  ",2019-01-17 00:19:00
