word,tf
포옹,1.0
나누,3.58
깨알,1.0
생태계,1.0
파괴,1.0
지껄이,2.0
반항,2.0
일컫,1.0
동음이의어,1.0
속내,1.0
나타내,1.0
집안,4.58
곳곳,2.58
묶,1.0
커다랗,1.0
목,3.0
걷,3.81
연결,2.0
수많,3.81
사슴뿔,2.58
찔리,3.0
정의,2.0
구현,1.0
당하,4.46
비참,1.0
최후,1.0
렘,1.0
전전,1.0
아주머니,1.0
남편,2.58
손,3.0
이해,4.0
패션,2.0
노년,1.0
신사,1.0
그대로,3.0
예상,3.58
핸드폰,3.32
잠깐,3.58
이곳,2.58
벗,3.0
나라,1.0
소리지르,1.0
육상,3.32
선수,4.0
밤,4.58
정원,2.58
달리,4.81
자국,3.58
감추,3.0
가발,3.32
수시로,1.0
매만지,2.58
거울,4.0
카메라,3.81
포착,2.0
이러하,2.0
탄식,1.0
남자주,1.0
공,2.0
사이,4.58
붙여지,1.0
이렇게,2.58
상품,3.0
가치,2.0
높이,2.0
부러뜨리,1.0
극진히,1.0
챙기,2.58
이건,2.0
사랑이,1.0
물건,2.0
손상,1.0
최소화,1.0
닿,2.58
제시,3.32
만류,2.0
얼핏,1.0
행위,3.58
저지,2.0
아끼,1.0
차후,1.0
대비,2.0
흔적,1.0
남기,4.0
기지,2.58
발휘,2.58
순간,3.32
소름,4.7
힘들,2.58
엔딩,3.32
만큼,3.32
긴장,2.0
빗나가,1.0
다시금,1.0
허탈,1.0
둘,2.58
사이좋,1.0
지옥,3.0
맥,2.0
핀,2.0
단,2.58
조합,2.0
숨막히,1.0
니,2.0
존경,1.0
디,3.0
황천,1.0
떠나,5.0
쓰러지,3.0
넘어지,1.0
등불,2.0
수술실,2.58
조명,1.0
밀접,1.0
관련,3.0
달아나,2.58
잡히,2.58
뒤,4.58
교도소,1.0
넘어가,2.58
면회,1.0
올,1.0
대체,2.58
무슨,2.58
일어나,3.32
아무런,1.0
대답,2.0
다만,2.58
됬다,1.0
뉘앙스,2.0
처하,3.32
명확히,1.0
인식,2.0
불로,1.0
이로써,1.0
참석,2.0
한마디,2.58
누명,1.0
거대,1.0
희생,1.0
나약,1.0
애절,1.0
눈망울,2.0
닮,1.0
유튜브,1.0
제작비,1.0
배,5.09
대박,2.0
낳,3.81
꼭,3.0
떨리,2.0
맘,3.0
대만족,1.0
및,2.58
포함,3.58
편도,2.0
남성,4.0
의,4.17
겪,3.32
거기,3.58
불편,4.58
친지,1.0
그르,3.0
친절,3.0
기묘,2.58
가식,2.58
악화,1.0
자기,4.17
금,1.0
연,1.0
착각,1.0
찜찜,1.0
충전기,3.32
코드,1.0
손님,2.58
만나,5.17
행동,4.46
마찬가지,2.0
왠지,2.58
익숙,3.0
얼굴,2.58
들키,2.0
아수라장,1.0
지르,1.0
당황,1.0
발작,3.58
치료,3.0
하다,4.17
사과,3.58
분위기,3.32
전환,2.0
견디,1.0
마음,3.58
먹,2.0
계획,2.0
동안,2.0
드디어,2.58
무리,2.0
실체,2.0
드러나,3.32
정체,1.0
일종,1.0
비밀,2.0
꾀어내,1.0
살아오,2.0
기억,2.0
밑,2.0
작업,1.0
일부,2.58
처음,5.58
끌어들이,1.0
수술대,2.58
일조,1.0
기능,1.0
본래,2.0
자아,3.81
통제,2.0
절대로,2.0
밖,3.81
아까,3.32
찻잔,5.0
터뜨리,1.0
순간적,1.0
도망,2.0
외,3.0
껍데기,1.0
완전,3.0
무기력,1.0
해진,1.0
오르,2.58
위기,3.81
직전,2.58
도망치,4.17
도움,3.0
마무리,1.0
사망,2.0
안전,1.0
닫히,1.0
깔끔,2.58
하기,1.0
숨,3.0
힘,2.0
끊임없이,1.0
현,2.58
실적,2.58
혹,1.0
공항,1.0
부,1.0
제출,1.0
운전자,1.0
라,3.58
선입견,2.0
내용,5.17
사소,1.0
적나라,1.0
나있,1.0
굉장히,4.32
신선,4.17
느껴지,3.0
단순히,2.0
죽여,1.0
참,4.0
훌륭,1.0
목적,1.0
이루,3.0
활용,1.0
고상,1.0
부유,1.0
미소,1.0
심리적,3.32
위화감,1.0
질리,1.0
스토리,3.0
드러내,2.0
듯,4.91
코미디언,1.0
유명,2.58
영화감독,1.0
데뷔,2.0
파격,1.0
기대,3.58
볼만,2.58
액션,1.0
의외,1.0
까다롭,1.0
취향,1.0
깜짝깜짝,1.0
마비,1.0
듯하,3.81
에겟,1.0
아웃,5.86
멀,2.0
저처럼,1.0
살인,2.0
쫄깃쫄깃,1.0
은근,1.0
유머,1.0
유투브,2.0
접하,1.0
티비,3.0
시청,2.0
소개,2.58
오오,1.0
흥미,3.81
찾아보,2.58
교훈,2.58
겉모습,1.0
쉽,2.58
판단,1.0
심플,1.0
라니,1.0
문화,1.0
별다르,2.58
저녁,3.32
녀,2.0
남녀,2.0
쎄합니,1.0
쎄한,3.0
집의,2.0
우월주의,1.0
무시,2.58
행,1.0
동이,1.0
참여,2.0
도,2.0
되게,2.58
순진무구,1.0
죄책감,2.58
한통,1.0
순간순간,1.0
사이코,1.0
패스,2.0
얻,3.0
전체,2.0
어렵,2.0
일부분,2.0
최면술,5.09
원래,4.17
잠그,1.0
저마다,1.0
역할,3.0
맡,2.0
이상한,2.0
최초,2.58
가업,1.0
잇,2.0
없애,2.58
꼬시,1.0
