word,tf
꽤나,1.0
질문,3.0
던지,5.64
유익,1.0
해롭,2.0
이롭,1.0
신,4.46
의미,5.17
속하,1.0
선악,1.0
기준,2.0
모호,3.0
걸작,1.0
반열,1.0
올라가,2.0
나도,2.0
이분법,1.0
나쁘,4.32
놈,4.17
항상,2.58
편하,1.0
누구,4.81
면,2.58
편리,1.0
인생,1.0
내편,1.0
네,4.58
구분,2.58
무의미,1.0
애매,2.0
아,4.91
실상,1.0
차,5.7
당,1.0
키나,1.0
끊임없이,3.0
흔들리,3.0
현혹,6.43
고통,4.58
숙명,1.0
지니,2.0
돈,3.58
종교,2.0
물질,1.0
때로는,1.0
무력,1.0
그래서,4.91
마라,5.32
어차피,2.0
불가능,1.0
준비,2.58
출연,4.0
쿠니무라준,2.58
외지인,8.65
발생,5.39
일가족,4.32
살해,4.32
불,3.81
지르,3.81
하나같이,3.0
피부,2.0
생기,5.0
드,4.0
경찰,6.75
인종,2.0
구,3.0
정리,3.58
범행,1.0
저지르,3.32
정신,4.7
탓,3.0
혈액,3.32
결과,3.81
앞뒤,2.0
가리,3.0
찾,6.17
가난,1.0
장판,1.0
협박,3.0
나아지,2.0
기미,1.0
유명,3.0
무당,6.39
부르,4.81
기대,3.32
작중,1.0
인,3.58
목요일,1.0
개봉,3.58
수요일,1.0
전야,1.0
얼른,1.0
어마어마,1.0
초반,3.58
숨막히,1.0
달려들,2.58
뒤잇,1.0
생겨나,2.0
정체,5.09
이상한,2.0
벌어지,4.58
돋,3.81
증거,3.81
그때,4.46
목격자,4.17
중심,2.58
새,2.58
발단,2.0
암시,1.0
몰래,3.0
조사,4.0
동료,5.91
의사,2.0
촌인,1.0
부제,5.17
괴이,2.58
아프,4.46
약도,1.0
효진,7.57
이외,1.0
지인,5.0
점점,4.17
포커스,1.0
맞추,1.0
순간,4.17
만이,1.0
늪,1.0
빠지,3.58
질질,1.0
끌려가,2.0
이쪽,1.0
저쪽,2.0
오락가락,1.0
도무지,2.0
종잡,1.0
의장단,1.0
완전히,2.0
놀아나,1.0
기분,3.0
누,4.46
서로,3.58
도저히,2.0
가늠,1.0
들이,3.58
꾸만,1.0
머릿속,1.0
맴돌,2.0
진실,4.0
곰곰이,1.0
해보,3.81
자꾸만,1.0
복잡,2.0
이전,3.32
선,5.52
눈빛,2.58
혹하,2.0
설마,1.0
툭,1.0
터놓,1.0
답답,1.0
내주,2.0
엄청나,4.0
몇,3.0
간본,1.0
숨가쁘,1.0
달려오,1.0
러닝,3.32
타임,3.32
하도,1.0
뒷목,1.0
뻐근,1.0
그동안,3.32
예상,2.0
뒤집,2.0
개개인,1.0
이미지,1.0
다르,4.7
입히,1.0
특히,3.0
충격,3.58
스스로,3.58
배,5.52
우인,1.0
끝내주,1.0
