word,tf
구하,5.17
주리,1.0
민지,1.0
우도,1.0
한결같이,1.0
엄청,2.0
실제로,2.58
몸동작,1.0
무슨,3.58
안무,1.0
팀,2.58
짜,1.0
그동안,2.0
얼핏,1.0
사뭇,1.0
다르,4.58
꺾이,2.0
진짜,5.0
랄,3.0
같달,1.0
암튼,3.0
훌륭,1.0
그래서,4.81
연쇄,1.0
화가,2.58
폭발적,1.0
나서,2.0
무,2.58
조건,1.0
습성,2.0
생기,3.32
보일,1.0
대로,2.0
싹,2.58
묻,4.46
죄다,2.58
피하,4.17
몰려가,1.0
도망가,4.32
임산부,4.17
언제,2.0
참,5.17
예쁘,2.58
강,2.58
보살피,2.0
이미지,3.81
더구나,1.0
임신,3.58
상태,5.39
보살핌,1.0
역할,4.81
데는,1.0
만큼,4.32
덩치,1.0
활용,3.0
예,2.58
중간,4.0
던지,4.32
배,2.58
가리키,2.0
이거,3.0
아저씨,4.91
월드컵,1.0
시절,1.0
핸드폰,3.58
벨,3.32
타박,1.0
바꾸,2.58
너,3.58
키,3.0
악역,4.7
입장,3.32
사랑이,1.0
필요,3.32
어리,3.58
돌보,2.58
소홀,2.0
양보,3.0
없다,3.81
가르치,2.0
게다가,1.0
생겨나,2.0
근본,1.0
원인,4.32
주식,1.0
아마도,1.0
주가,1.0
폭락,1.0
망하,1.0
먹,2.58
잘살,1.0
없이,5.58
같이,5.0
승객,5.58
고속버스,2.58
상무,4.0
용석,6.81
김,5.58
의석,1.0
기철,3.58
자유자재,1.0
주무르,1.0
세우,3.0
명령,3.32
진희,5.64
기장,5.91
정석,1.0
무관,1.0
여럿,2.0
죽이,3.58
기다랗,1.0
어찌,3.32
밀실,1.0
공포,3.81
투명,1.0
유리문,3.0
달려들,3.81
스트,1.0
레,1.0
스,4.46
그런데,3.32
문,6.81
손잡이,3.0
만지,2.0
줄,5.25
그리,5.32
뭔,3.81
아이디어,1.0
떠오르,2.58
유리,3.0
뿌리,2.58
신문지,2.0
덮,1.0
목표물,2.0
조,1.0
용해,1.0
이때,4.0
특징,2.58
터널,5.91
어둡,4.46
지면,2.58
멀뚱,1.0
못,4.91
돌,2.0
스타,1.0
로봇,1.0
각오,1.0
소화,2.58
영국,6.0
이르,3.32
물때,1.0
짠하,1.0
전달,2.58
대전역,5.39
멈추,4.17
선,4.7
지인,2.0
군인,6.04
소식,3.0
통로,3.58
도움,3.32
기대,5.32
나가보,1.0
갓,2.0
산,1.0
뒤쫓기,2.0
내달리,2.0
으아,1.0
열라,1.0
달라붙,1.0
두드리,2.0
깨지,4.0
우르르,2.0
넘어지,4.0
위,4.17
모래,1.0
흘러넘치,2.0
쌓이,1.0
저것,1.0
찍,4.46
살리,4.7
다치,1.0
차,5.17
눈빛,2.58
먼저,4.0
잡아타,1.0
쫓아오,2.0
제끼,1.0
전경,2.0
장비,2.0
집어들,1.0
외치,3.0
맞은편,2.0
달려오,4.17
해치우,1.0
아,5.09
십분,1.0
손수건,1.0
컬러,1.0
푸,2.0
재킷,1.0
추성,1.0
훈,1.0
머플러,1.0
풀,2.0
간신히,4.32
세,4.91
남자,4.91
통화,4.58
뚫,3.58
가기,3.0
복도,2.0
꽉,1.0
채우,2.0
자켓,1.0
벗어던지,1.0
팔뚝,1.0
칭칭,1.0
감,3.32
남기,4.0
여기,6.25
잠시,4.0
엑스트라,1.0
급,3.0
엄청나,3.81
괴력,2.0
펼쳐지,2.58
기냥,1.0
냅다,3.0
펀치,1.0
갖다버리,1.0
와우,1.0
ㅁ,1.0
반하,3.0
네,3.81
말씀,2.0
하필,2.0
야구부,4.7
친구,5.91
충격,3.32
그리하,4.58
빠따,1.0
함부로,1.0
때리,3.0
당황하셨쎄,1.0
엉아들,1.0
해결,1.0
활약,2.0
밀,2.0
부인과,2.0
재회,1.0
생존자,6.04
찾아가,1.0
주축,2.0
더이상,2.58
과의,2.58
접촉,1.0
주장,2.58
내세우,1.0
동조,1.0
넥타이,1.0
옷가지,1.0
묶,3.0
꽁꽁,2.0
짐칸,2.0
기어,1.0
넘어오,2.0
헛소문,1.0
퍼뜨리,2.0
새끼,2.58
빨리,3.58
아우성,1.0
이동,4.91
소리지르,2.58
할머니,4.91
자매,3.0
동생,1.0
언니,3.32
창밖,1.0
어차피,1.0
뭐하,1.0
챙기,4.0
한탄,1.0
서,3.58
아우성치,1.0
모조리,1.0
대피,3.0
휴,2.0
선로,5.25
막히,3.0
어쩌,4.91
침착,1.0
운행,3.0
좌측,3.0
끝,5.46
올려놓,2.0
부디,2.0
안전,5.7
승차,1.0
고,3.81
여러분,1.0
행운,2.0
빌,3.0
하여,3.0
왼쪽,3.0
움직이,2.58
쪽,5.32
안쓰럽,2.0
도와주,2.0
내리,5.17
바람,4.0
마지막,5.32
짓,4.0
이름,3.0
최,2.58
귀화,2.58
전복,1.0
잔뜩,1.0
기울어지,2.0
가득,2.0
한데,3.0
금방,2.0
유리창,3.58
쏠리,1.0
빠져나오,2.58
띄우,1.0
한숨,1.0
되어가,2.58
악당,1.0
애걸,1.0
지키,5.81
몸싸움,2.0
사슬,1.0
뒤,6.0
끌어안,2.58
떨어지,4.91
척,1.0
제거,1.0
와중,4.17
자기도,1.0
앉히,1.0
