word,tf
인터넷,6.09
채팅,3.0
페이스,4.0
뉴스,5.0
휴대폰,2.0
이용,4.46
와의,2.0
추억,3.58
하나하나,2.0
저장해,1.0
보관,1.0
자상,1.0
성격,2.58
그만큼,2.0
너무나,3.81
사랑,5.09
불행,2.58
완치,1.0
최선,3.0
다하,3.0
죽음,4.17
겐,3.58
보살피,1.0
치유,2.58
빈자리,1.0
채우,1.0
인하,4.46
혹시나,2.0
가급적,1.0
도움,3.81
배려,2.0
오히려,4.58
따,2.0
세상,2.58
떠나,3.58
시련,1.0
사춘기,2.58
소녀,2.58
부모,4.46
관심,4.17
시기,1.0
마,6.91
잃,4.32
성,3.32
부재,2.0
참,3.58
힘들,4.32
거기,3.81
그리움,1.0
끄,3.0
내놓,1.0
대신,3.0
삼촌,4.0
피터,6.0
털어놓,4.32
하자,2.0
대마초,1.0
건네,2.0
간직,2.0
멀리하,1.0
점점,4.32
익명,2.58
과거,3.58
겪,2.0
중인,1.0
어머니,5.25
한나,6.13
동질감,2.58
느끼,5.25
병원비,4.0
레슨,4.91
초반,3.32
메신저,2.0
행복,4.32
대사,1.0
오로지,2.0
표현,4.58
특히,3.0
캘린더,1.0
퇴원,1.0
날짜,1.0
돌아오,3.58
매우,3.0
인상적,3.32
후반,1.0
처지,2.58
비슷,3.0
나이,2.0
대,4.0
아이,5.64
믿,4.32
사실적,1.0
개인적,4.81
예고편,3.58
떠오르,1.0
화장품,1.0
회사,2.58
벌어지,2.58
여직원,2.0
살인,3.81
매스컴,2.0
무분별,1.0
마녀,2.0
사냥,2.0
비판,3.58
일본,1.0
백설,2.0
공주,2.0
전면,1.0
내세우,1.0
범인,6.93
비교,3.32
아예,2.58
각종,2.58
로만,1.0
문제점,3.32
직접적,2.0
기대,4.0
초점,2.58
맞추,3.58
반면,1.0
아쉽,2.0
반대,1.0
물론,3.81
제안,2.0
공간,2.58
재미,3.0
그려내,1.0
다만,2.0
드러내,2.0
디테일,1.0
사,4.17
실적,3.32
상업적,1.0
전체적,2.0
제한,1.0
적인,2.58
가미,1.0
시나리오,2.0
진,2.0
미치,3.0
아쉬움,2.58
평,3.0
키보드,2.0
때려잡,1.0
버전,1.0
이것,4.32
언제,3.0
이제서야,1.0
독보적,1.0
주목,3.0
독점,1.0
상영관,1.0
불구하,3.0
우리나라,2.58
꽤,3.32
흥행,1.0
고대,1.0
본진,1.0
역,4.0
맡,4.81
함해,1.0
어,3.81
머,1.0
반드시,1.0
외치,1.0
존조,3.0
늙,2.0
분장,1.0
저,5.39
아마,3.0
엘프,1.0
요정,1.0
일단,2.58
굳이,1.0
길,4.0
너무,5.86
일상,4.17
자리잡,1.0
획기적,1.0
인물,5.09
직접,4.7
적이,4.17
페이스톡,3.81
등등,2.58
매체,3.0
여러,3.81
의미,2.0
실험적,1.0
지루,4.7
굉장히,4.91
찰떡,2.0
오브,1.0
맡기,1.0
요청,3.58
정말,5.91
어울리,1.0
메싱,2.58
원래,2.58
소설,2.0
좋아하,4.81
증거,4.0
왠지,2.0
얘,3.32
삐,2.0
걔,2.0
꼬리,1.0
스토리,3.32
치밀,1.0
짜,3.32
시,4.0
중간,4.58
감동,1.0
개그,2.0
도,2.58
단순히,2.0
그치,2.0
확실히,1.0
전달하,1.0
메세지,3.32
극장가,1.0
후회,1.0
뻔,1.0
최근,3.0
톱,1.0
스포,5.39
해석,1.0
및,2.58
감상,1.0
우선,3.32
짧,1.0
전달,2.0
앞부분,1.0
완전,2.58
찌,2.0
으으으으그리,1.0
깨알,2.0
제일,1.0
웃기,1.0
뜨또,1.0
콘서트,2.58
데이비드,7.67
누군가,4.17
기다리,4.17
자의,1.0
근거,1.0
직감,2.58
맞,4.32
뜨,2.58
스치,1.0
지나가,2.0
연결,3.58
신기,3.32
떡밥,4.32
군데군데,1.0
뿌리,1.0
아들,7.09
행동,3.32
따로,2.0
제재,2.0
넘어가,2.0
바로,5.46
소름,4.0
돋,2.0
장례식,4.46
모델,5.39
동안,4.17
바뀌,3.0
무엇,4.7
끼치,3.0
평소,4.0
관찰력,1.0
그렇게,1.0
중요,2.58
어디,4.81
이거,2.58
상당히,1.0
서로,4.46
세대,1.0
위험,1.0
개인,4.81
정보,4.81
저렇,2.0
널리,2.0
현대,2.0
유형,1.0
집약,1.0
관,1.0
종,1.0
부르,2.0
학교,4.58
여학생,2.0
친목,1.0
먹,4.17
쌩뚱,1.0
베프였다,1.0
질질,1.0
업,4.32
로드,4.32
남학생,1.0
자기,4.7
괜하,1.0
끌,2.58
전문,2.58
추측,2.0
글,4.46
피해자,1.0
아무렇,2.58
실제로,3.32
진심,3.0
진실,4.0
가식,1.0
거짓,4.17
난무,2.0
담아내,1.0
아무런,1.0
짚,1.0
정체,2.0
관련,2.58
해결,3.0
관객,4.7
의구심,1.0
살짝,2.0
돈,6.13
입금,2.58
가출,5.64
누,2.58
인지,2.58
진짜,4.58
은폐,3.58
가짜,3.81
찾아내,4.0
외,2.0
공적,1.0
신뢰,2.0
제공자,1.0
대목,2.0
매,1.0
체,1.0
그러하,3.0
신빙성,1.0
출처,1.0
어떠하,2.0
자식,4.0
발,2.0
뛰,2.0
지키,2.0
동기,2.0
양상,1.0
거르,1.0
이렇게,3.81
취향,1.0
저격,1.0
거리,4.0
혁신적,1.0
스릴,2.0
사회성,1.0
잡,3.81
일부,2.0
전적,1.0
을,3.58
사례,1.0
전례,1.0
트렌,2.0
추리법,1.0
첫,3.0
장편,2.0
데뷔작,2.0
라이프,1.0
문법,1.0
창작,1.0
화기애애,2.0
폴더,1.0
패,4.91
웃음,1.0
가득,2.58
심각,2.58
성과,1.0
면모,1.0
내비치,1.0
잠시,2.58
죽,5.95
가정,3.81
나쁘,2.0
비록,1.0
분위기,2.58
둘,4.32
괜찮,2.0
부녀,2.0
모임,2.0
밤샘,1.0
공부,2.0
숙면,1.0
피드백,1.0
묵묵부답,1.0
그때,3.0
두고,2.58
간,4.0
주변,3.81
아무리,2.58
사생활,1.0
침해,1.0
행위,2.0
불법,1.0
누구,4.0
동일,2.58
처하,2.0
온갖,1.0
수단,2.0
익숙,3.0
낯설,2.0
서비스,1.0
설치,4.0
비공개,1.0
암호,1.0
학원,3.81
선생님,2.58
연락처,3.32
고,3.58
당일,3.0
스케줄,1.0
파헤치,1.0
고군,2.0
분투,2.0
해지,3.0
깊숙이,1.0
침투,1.0
택하,1.0
결정적,3.81
하기는,1.0
동시,3.81
드러나,3.81
정확,1.0
가령,1.0
실제,2.58
오프라인,1.0
신분,2.58
순항,1.0
있다,1.0
착각,2.0
얼굴,4.0
아이러니,1.0
퉁,1.0
드라마,3.32
현,3.58
꼬집,2.0
면,3.0
기존,2.0
특별,1.0
갖추,2.0
어이,3.0
뭐,3.58
내뱉,1.0
영화관,3.58
바라,3.0
극,3.32
흥미진진,3.0
의하,2.0
것일까,1.0
의문,2.0
생존,2.58
여부,1.0
미스터리,1.0
불편,1.0
반,2.58
역시,4.0
가슴,2.0
뭉클,1.0
타인,1.0
일면식,1.0
속내,1.0
털,2.58
망,1.0
집단,1.0
신중,1.0
모바일,2.0
활동,3.0
즐겨야겠다,1.0
신한,2.0
흡인력,1.0
서사,1.0
올,2.0
문화,1.0
추천,4.0
뷰,1.0
며칠,1.0
지나,3.0
촬영,3.81
하다,5.25
소문,1.0
팝콘,1.0
사이다,1.0
우걱우걱,1.0
리뷰,3.0
과,2.58
유년,1.0
시절,3.58
앓,1.0
재발,3.0
살아가,2.58
고등학생,3.0
저녁,4.0
그룹,4.17
새우,1.0
내용,5.09
후,5.52
그날,3.0
분,5.46
찍히,3.81
마지막,4.7
끊기,2.0
수소문,1.0
단서,5.0
실마리,3.58
사용하,3.58
유,5.39
캐스트,5.32
쫓,3.58
포함,3.0
지휘,2.58
달리,3.58
외롭,2.58
지내,4.91
매달,1.0
개월,4.0
군지,1.0
전송,1.0
충격,3.0
신분증,4.0
위조,4.0
정황,1.0
포착,1.0
가능성,4.0
쳐다보,1.0
고뇌,1.0
호수,6.75
그곳,4.0
달,3.0
열쇠고리,3.32
차가,1.0
아래,4.91
공개,2.58
인근,2.0
대대적,2.58
수색,4.91
진행하,2.58
와중,3.32
동생,6.13
주고받,3.0
몰래,3.58
만남,3.0
가끔,2.0
마리화나,4.7
피우,3.32
생각나,2.58
피하,2.0
속마음,2.0
미처,2.0
알아차리,1.0
자책,2.58
출소,1.0
성폭행,4.46
폭행,2.58
죽이,4.91
자백,5.39
자살,5.25
인정,2.0
추모,4.46
장례,4.81
업체,3.0
메일,3.32
아주,3.32
이전,1.0
조사,5.46
친하,5.7
알리바이,4.58
거두,1.0
사이트,4.46
있었,3.81
전화번호,2.0
전화를,2.0
그런데,2.58
경찰의,3.58
받기는,2.0
뭔,4.91
잘못되,2.0
지원,3.32
왜,2.58
거짓말,5.46
로버트,6.32
짝사랑,3.58
우연히,3.32
보고,3.0
프로필,4.0
지정,1.0
환심,2.0
척,4.17
없다,2.0
모으,4.17
돌려주,4.17
뒤따르,2.58
실랑이,3.0
절벽,6.13
떨어지,4.91
알리,3.81
잘못,4.17
감추,2.0
조작,3.58
밝혀지,3.81
체포,4.32
경찰서,4.0
향하,4.58
차,6.04
생사,1.0
느,2.0
질문,1.0
불가능,1.0
답,2.58
엄청나,2.0
폭우,4.58
내리,3.58
떠올리,1.0
돌리,4.46
다행히,3.32
무사히,3.0
구조,4.46
음대,2.0
해피엔딩,3.32
별,3.32
호평,2.58
고요,1.0
기법,2.58
줄거리,5.17
재밌,5.17
거듭,2.58
떼,2.58
오래간만,1.0
몰입,3.58
감,2.58
지만,1.0
어긋나,1.0
모성애,2.0
지간,1.0
단절,1.0
소통,4.17
회수,3.58
아직,3.58
못,2.58
보신,1.0
불,2.0
계시,3.0
내려가,1.0
꼭,3.58
가시,2.0
드리,2.58
미루,2.58
한편,3.0
다그,2.58
온,1.0
간략,1.0
간단,2.58
스포주,1.0
보시,3.81
나서,1.0
보통,1.0
등장인물,2.58
얘기,4.32
이날,2.0
밤새,2.58
새벽,3.32
오른쪽,1.0
거칠,1.0
생소,1.0
나중,2.0
작,3.0
표정,2.0
눈여기,1.0
어쨌든,2.0
들어오,3.81
여기저기,2.58
장,3.81
낳,3.32
초대,3.32
오기,1.0
빼,1.0
나머지,1.0
구들,1.0
헤매,1.0
진정하,1.0
항상,2.0
혼자,4.91
밥,2.0
그저,3.32
대학,3.58
가기,2.58
불쌍,1.0
탐문,2.0
홀로,1.0
북,4.32
트위터,3.0
살펴보,2.58
충분히,1.0
이제부,1.0
해,1.0
주의,2.0
패스,2.0
잡히,3.58
올리,4.81
시신,3.32
메모리,2.0
치루,2.0
용의자,3.58
피시,3.58
앤,4.17
칩스,3.58
똑같이,1.0
말하기,1.0
사용자,2.58
식당,2.0
종업원,1.0
일하,3.0
아이디,3.81
게다,3.0
살해,4.0
로즈,2.58
마리,2.58
인연,1.0
범죄자,4.32
신,3.0
오랫동안,2.0
요,2.0
웨이트리스,3.0
그만,2.0
터놓,2.0
밤중,2.0
근처,3.58
으슥,1.0
어둡,2.0
다가,2.0
올라타,2.0
놀,3.32
지르,2.58
